schedule_family,scheduler,n_steps,dataset_group,size_group,scheduler_label,scheduler_variant_label,metric,metric_label,direction,mean,ci95,n
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,21.772728583342396,1.5688800982039972,150
condmarg,entropic_log1p,10,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,90.53649751790367,0.6541631846092477,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,89.26215808868409,0.7599282414815096,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,diversity,Diversity,higher,2.425379884839058,0.4108319076606348,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,2.425379884839058,0.4108319076606348,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,54.46739996313428,3.922022246384013,150
condmarg,entropic,25,All,Large,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,90.2391324671427,0.6709450899767704,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,96.38584072113036,0.059868264070386965,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,11.884392743110658,1.2904906275793113,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,rmsd_mean,Endpoint spread,higher,11.884392743110658,1.2904906275793113,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,invalid_rate,Invalid rate,lower,0,0,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,infer_seconds_per_output,Seconds/output,lower,54.429044516217736,3.9242753085630624,150
condmarg,entropic_log1p,25,All,Large,Entropic-log1p,Entropic-log1p · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,90.84973648529053,0.5292678829062128,150
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,plddt_mean,pLDDT,higher,97.44592932065328,0.3062110238916462,240
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,diversity,Diversity,higher,3.2843355262031158,0.4614535495491711,240
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,rmsd_mean,Endpoint spread,higher,3.2843355262031158,0.4614535495491711,240
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,invalid_rate,Invalid rate,lower,0,0,240
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,infer_seconds_per_output,Seconds/output,lower,4.44915228150979,0.767467520300692,240
condmarg,entropic,5,ATLAS,All,Entropic,Entropic · cond-marg,trajectory_plddt_mean_all_frames,Trajectory pLDDT,higher,87.41076187849045,1.3241003256880015,240
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,plddt_mean,pLDDT,higher,94.10675216118494,0.7438602226449078,240
condmarg,entropic_log1p,5,ATLAS,All,Entropic-log1p,Entropic-log1p · cond-marg,diversity,Diversity,higher,7.5099919411043325,0.8179668616716876,240
